Mes,Etapa,Ingresos,Peon_Rural,Personal_Extra,Produccion,Costos_Total,Resultado,Acumulado,Reinversion,Div_HermanoA,Div_HermanoB,Div_HermanoC,Div_HermanoD
1,"1 - Establecimiento",0,1163446.65,0,2500000,3663446.65,-3663446.65,-3663446.65,0,0,0,0,0
2,"1 - Establecimiento",0,1163446.65,0,180000,1343446.65,-1343446.65,-5006893.3,0,0,0,0,0
3,"1 - Establecimiento",0,1163446.65,0,180000,1343446.65,-1343446.65,-6350339.949999999,0,0,0,0,0
4,"1 - Establecimiento",720000,1163446.65,0,350000,1513446.65,-793446.6499999999,-7143786.6,0,0,0,0,0
5,"1 - Establecimiento",720000,1163446.65,0,350000,1513446.65,-793446.6499999999,-7937233.25,0,0,0,0,0
6,"1 - Establecimiento",720000,1163446.65,0,350000,1513446.65,-793446.6499999999,-8730679.9,0,0,0,0,0
7,"1 - Establecimiento",1440000,1163446.65,0,420000,1583446.65,-143446.6499999999,-8874126.55,0,0,0,0,0
8,"1 - Establecimiento",1440000,1163446.65,0,420000,1583446.65,-143446.6499999999,-9017573.200000001,0,0,0,0,0
9,"1 - Establecimiento",1440000,1163446.65,0,420000,1583446.65,-143446.6499999999,-9161019.850000001,0,0,0,0,0
10,"1 - Establecimiento",1440000,1163446.65,0,420000,1583446.65,-143446.6499999999,-9304466.500000002,0,0,0,0,0
11,"1 - Establecimiento",1440000,1163446.65,0,420000,1583446.65,-143446.6499999999,-9447913.150000002,0,0,0,0,0
12,"1 - Establecimiento",1870000,1163446.65,0,420000,1583446.65,286553.3500000001,-9161359.800000003,0,0,0,0,0
13,"1 - Establecimiento",1870000,1163446.65,0,420000,1583446.65,286553.3500000001,-8874806.450000003,0,0,0,0,0
14,"1 - Establecimiento",1870000,1163446.65,0,420000,1583446.65,286553.3500000001,-8588253.100000003,0,0,0,0,0
15,"1 - Establecimiento",1870000,1163446.65,0,420000,1583446.65,286553.3500000001,-8301699.750000004,0,0,0,0,0
16,"1 - Establecimiento",1870000,1163446.65,0,420000,1583446.65,286553.3500000001,-8015146.400000004,0,0,0,0,0
17,"1 - Establecimiento",1870000,1163446.65,0,420000,1583446.65,286553.3500000001,-7728593.0500000045,0,0,0,0,0
18,"1 - Establecimiento",1870000,1163446.65,0,420000,1583446.65,286553.3500000001,-7442039.700000005,0,0,0,0,0
19,"2 - Consolidación",2405000,1163446.65,120000,480000,1763446.65,641553.3500000001,-6800486.350000005,449087.34500000003,48117,48117,48117,48117
20,"2 - Consolidación",2405000,1163446.65,120000,480000,1763446.65,641553.3500000001,-6158933.000000006,449087.34500000003,48117,48117,48117,48117
21,"2 - Consolidación",2405000,1163446.65,120000,480000,1763446.65,641553.3500000001,-5517379.650000006,449087.34500000003,48117,48117,48117,48117
22,"2 - Consolidación",2405000,1163446.65,120000,480000,1763446.65,641553.3500000001,-4875826.300000006,449087.34500000003,48117,48117,48117,48117
23,"2 - Consolidación",2405000,1163446.65,120000,480000,1763446.65,641553.3500000001,-4234272.950000007,449087.34500000003,48117,48117,48117,48117
24,"2 - Consolidación",2405000,1163446.65,120000,480000,1763446.65,641553.3500000001,-3592719.6000000066,449087.34500000003,48117,48117,48117,48117
25,"2 - Consolidación",2780000,1163446.65,120000,540000,1823446.65,956553.3500000001,-2636166.2500000065,669587.345,71742,71742,71742,71742
26,"2 - Consolidación",2780000,1163446.65,120000,540000,1823446.65,956553.3500000001,-1679612.9000000064,669587.345,71742,71742,71742,71742
27,"2 - Consolidación",2780000,1163446.65,120000,540000,1823446.65,956553.3500000001,-723059.5500000063,669587.345,71742,71742,71742,71742
28,"2 - Consolidación",2780000,1163446.65,120000,540000,1823446.65,956553.3500000001,233493.79999999376,669587.345,71742,71742,71742,71742
29,"2 - Consolidación",2780000,1163446.65,120000,540000,1823446.65,956553.3500000001,1190047.1499999939,669587.345,71742,71742,71742,71742
30,"2 - Consolidación",2780000,1163446.65,120000,540000,1823446.65,956553.3500000001,2146600.499999994,669587.345,71742,71742,71742,71742
31,"3 - Turismo",5145000,1163446.65,850000,0,2193446.65,2951553.35,5098153.849999994,1770932.01,295155,295155,295155,295155
32,"3 - Turismo",5145000,1163446.65,850000,0,2193446.65,2951553.35,8049707.199999994,1770932.01,295155,295155,295155,295155
33,"3 - Turismo",5145000,1163446.65,850000,0,2193446.65,2951553.35,11001260.549999993,1770932.01,295155,295155,295155,295155
34,"3 - Turismo",5145000,1163446.65,850000,0,2193446.65,2951553.35,13952813.899999993,1770932.01,295155,295155,295155,295155
35,"3 - Turismo",5145000,1163446.65,850000,0,2193446.65,2951553.35,16904367.249999993,1770932.01,295155,295155,295155,295155
36,"3 - Turismo",5145000,1163446.65,850000,0,2193446.65,2951553.35,19855920.599999994,1770932.01,295155,295155,295155,295155
37,"3 - Turismo",7245000,1163446.65,850000,0,2193446.65,5051553.35,24907473.949999996,3030932.01,505155,505155,505155,505155
38,"3 - Turismo",7245000,1163446.65,850000,0,2193446.65,5051553.35,29959027.299999997,3030932.01,505155,505155,505155,505155
39,"3 - Turismo",7245000,1163446.65,850000,0,2193446.65,5051553.35,35010580.65,3030932.01,505155,505155,505155,505155
40,"3 - Turismo",7245000,1163446.65,850000,0,2193446.65,5051553.35,40062134,3030932.01,505155,505155,505155,505155
41,"3 - Turismo",7245000,1163446.65,850000,0,2193446.65,5051553.35,45113687.35,3030932.01,505155,505155,505155,505155
42,"3 - Turismo",7245000,1163446.65,850000,0,2193446.65,5051553.35,50165240.7,3030932.01,505155,505155,505155,505155
