CASH FLOW MENSUAL POR ETAPAS - EL RECODO
Valores en Pesos Argentinos (ARS)

ETAPA,MES,CONCEPTO,INGRESOS,EGRESOS,RESULTADO_NETO,ACUMULADO
Etapa 0 - Leña,1-3,Inversión inicial,0,2500000,-2500000,-2500000
Etapa 0 - Leña,4,Operación leña,1440000,650000,790000,-1710000
Etapa 0 - Leña,5,Operación leña,1440000,650000,790000,-920000
Etapa 0 - Leña,6,Operación leña,1440000,650000,790000,-130000
Etapa 0 - Leña,7,Operación leña,1440000,650000,790000,660000
Etapa 0 - Leña,8,Operación leña,1440000,650000,790000,1450000
Etapa 0 - Leña,9,Operación leña,1440000,650000,790000,2240000
Etapa 0 - Leña,10,Operación leña,1440000,650000,790000,3030000
Etapa 0 - Leña,11,Operación leña,1440000,650000,790000,3820000
Etapa 0 - Leña,12,Operación leña,1440000,650000,790000,4610000
Etapa 1 - Turismo,13,Leña + Turismo,2140000,1030000,1110000,5720000
Etapa 1 - Turismo,14,Leña + Turismo,2140000,1030000,1110000,6830000
Etapa 1 - Turismo,15,Leña + Turismo,2140000,1030000,1110000,7940000
Etapa 1 - Turismo,16,Leña + Turismo,2140000,1030000,1110000,9050000
Etapa 1 - Turismo,17,Leña + Turismo,2140000,1030000,1110000,10160000
Etapa 1 - Turismo,18,Leña + Turismo,2140000,1030000,1110000,11270000
